accountNumber,balance,betweenness,communityId,communitySize,cycleCount,fraudScore,freq,inDegree,intermediateAccount,is_suspicious,outDegree,pagerank,regularIntervalTransaction,suspicious,triangleCount,type,user
ACC000070,99363.63,0.00010124956272208076,1,1054,0,5.06,22,4,8,False,2,4.5348877269302036e-05,True,False,0,SAVINGS,User_70
ACC000071,15960.19,0.0003494148427095945,6,1017,0,18.14,8,6,36,False,6,0.00010145991225863012,True,False,0,BUSINESS,User_71
ACC000072,6415.88,0.00043908484184519106,9,1048,0,21.65,4,8,40,False,5,0.00010343886984648863,True,False,1,CURRENT,User_72
ACC000073,5024.96,0.00014288004451174183,8,1028,0,13.06,42,4,24,False,6,4.347475066175309e-05,True,False,0,SAVINGS,User_73
ACC000074,10800.59,0.0002528823900923808,2,1008,0,12.76,50,9,18,False,2,0.00023664575998998924,True,False,0,BUSINESS,User_74
ACC000075,66949.24,8.803416535684038e-05,3,990,0,6.58,10,5,10,False,2,7.342874446130277e-05,True,False,0,CURRENT,User_75
ACC000076,43194.9,0.0005569767682493294,0,1045,0,21.68,21,6,42,False,7,0.00012103092417242583,False,False,0,SAVINGS,User_76
ACC000077,99226.17,0.0011546750598112829,7,1027,0,32.41,10,10,60,False,6,0.00029389141211991877,True,False,0,BUSINESS,User_77
ACC000078,16484.82,0.000650410275544252,6,1017,0,28.69,2,8,56,False,7,0.00012845348315870323,True,False,1,CURRENT,User_78
ACC000079,3708.99,0.000682607094552208,4,992,0,28.81,20,9,54,False,6,0.00024273450088797556,False,False,0,SAVINGS,User_79
ACC000080,53804.52,0.0021440434060822043,4,992,0,28.91,50,8,56,False,7,0.00019541512689585588,True,False,0,BUSINESS,User_80
ACC000081,79759.15,0.0006495400353320564,6,1017,0,36.66,15,8,72,False,9,9.553405095699368e-05,True,False,0,CURRENT,User_81
ACC000082,33641.37,0.001792922288036247,5,989,0,55.84,11,11,110,False,10,0.0001562303353222948,True,False,0,SAVINGS,User_82
ACC000083,93350.15,0.00019975014195182706,7,1027,0,8.6,46,3,15,False,5,8.446007580813496e-05,True,False,0,BUSINESS,User_83
ACC000084,79940.4,6.76862371712109e-05,7,1027,0,7.57,41,8,8,False,1,5.982247507585073e-05,True,False,0,SAVINGS,User_84
ACC000085,23859.53,0.00047702868669792205,3,990,0,20.71,27,9,36,False,4,0.00016030211699496395,False,False,0,SAVINGS,User_85
ACC000086,74555.32,0.0005416568516593153,7,1027,0,15.7,46,6,30,False,5,0.0001506189443860858,True,False,1,SAVINGS,User_86
ACC000087,38823.31,7.606861788464649e-05,0,1045,0,5.05,47,2,8,False,4,4.194490576106743e-05,False,False,0,SAVINGS,User_87
ACC000088,11394.13,0.00043299828264196076,7,1027,0,15.69,37,7,28,False,4,0.0001501785440172927,False,False,1,CURRENT,User_88
ACC000089,41238.68,0.00013098942879718467,1,1054,0,5.09,11,2,8,False,4,7.841871449232654e-05,False,False,0,CURRENT,User_89
ACC000090,43557.15,0.00031177993120604184,4,992,0,10.63,34,4,20,False,5,0.00010046880847670984,False,False,0,SAVINGS,User_90
ACC000091,80080.34,0.0004625989361729978,1,1054,0,18.66,34,7,35,False,5,0.00011378572637681075,False,False,0,BUSINESS,User_91
ACC000092,71667.81,0.0005105612902680653,5,989,0,15.68,29,7,28,False,4,0.00012851530491538474,True,False,0,SAVINGS,User_92
ACC000093,2315.04,0.0003212997569764517,1,1054,0,3.58,44,3,6,False,2,5.0534455222676626e-05,True,False,0,CURRENT,User_93
ACC000094,43225.43,8.791045914837242e-05,4,992,0,6.59,40,5,10,False,2,8.001431367237438e-05,False,False,0,CURRENT,User_94
ACC000095,75979.84,0.0010753836363824071,3,990,0,13.21,4,6,24,False,4,9.879057813262431e-05,True,False,0,BUSINESS,User_95
ACC000096,75215.13,0.0,3,990,0,0.23,21,8,0,False,0,0.00022514466013184246,False,False,0,CURRENT,User_96
ACC000097,44969.27,0.0001406570546883162,1,1054,0,8.06,32,4,16,False,4,4.146183405594508e-05,False,False,1,CURRENT,User_97
ACC000098,69051.77,0.0005261000566526123,7,1027,0,11.18,34,8,16,False,2,0.00012569381662630322,True,False,0,CURRENT,User_98
ACC000099,3855.67,0.001406860834897482,6,1017,0,20.77,47,11,33,False,3,0.0001324959122717073,False,False,2,CURRENT,User_99
ACC000100,24271.88,0.0017003566337192863,9,1048,0,24.87,30,9,45,False,5,0.00019544598434888784,True,False,1,CURRENT,User_100
ACC000101,43189.59,0.0004302436159608442,2,1008,0,11.89,26,12,12,False,1,0.0003430080458853866,True,False,1,SAVINGS,User_101
ACC000102,42537.52,0.00029597282698203854,1,1054,0,14.2,12,10,20,False,2,0.00016610653281795386,True,False,0,BUSINESS,User_102
ACC000103,55172.61,0.00019662284899789247,8,1028,0,6.63,31,3,12,False,4,0.00011332743344021633,True,False,0,BUSINESS,User_103
ACC000104,23647.31,0.0002465850247681613,0,1045,0,18.59,14,5,35,False,7,6.81668939607158e-05,False,False,1,SAVINGS,User_104
ACC000105,72371.1,0.0005016807858669905,5,989,0,10.6,3,3,18,False,6,5.143242584755175e-05,True,False,0,SAVINGS,User_105
ACC000106,98357.52,0.0006116559767188571,7,1027,0,25.18,47,8,48,False,6,0.00011758493018219001,True,False,0,SAVINGS,User_106
ACC000107,10916.57,0.0016266585472064722,9,1048,1,26.89,34,9,45,False,5,0.00022384486956196882,True,False,2,SAVINGS,User_107
ACC000108,93131.52,0.0002445623042134392,7,1027,0,20.64,27,9,36,False,4,0.00011069559868976593,False,False,1,SAVINGS,User_108
ACC000109,41696.64,7.71531988962794e-05,0,1045,0,8.08,2,6,12,False,2,7.392263774397398e-05,False,False,0,SAVINGS,User_109
ACC000110,78531.09,0.0002876476695191773,5,989,0,12.57,46,5,25,False,5,3.8846681384766556e-05,True,False,0,SAVINGS,User_110
ACC000111,81747.41,0.000254111574029164,7,1027,0,10.59,47,5,20,False,4,6.369749063300933e-05,False,False,0,BUSINESS,User_111
ACC000112,8308.52,0.0005565780177532023,2,1008,0,8.62,14,5,15,False,3,6.43338409318772e-05,False,False,0,CURRENT,User_112
ACC000113,42738.5,0.0010127003164996278,2,1008,0,13.24,28,6,24,False,4,0.00014159342758095,False,False,0,SAVINGS,User_113
ACC000114,21425.43,0.0003953368911420936,9,1048,0,6.73,28,4,12,False,3,0.0001874423615941338,True,False,0,CURRENT,User_114
ACC000115,77714.23,0.0002129494996604967,7,1027,0,6.63,2,7,7,False,1,0.00011264835106802264,True,False,0,BUSINESS,User_115
ACC000116,77444.57,8.396133958061006e-05,8,1028,0,3.6,7,4,4,False,1,9.351441484644012e-05,True,False,0,SAVINGS,User_116
ACC000117,81454.91,0.0010046008861013143,8,1028,0,36.75,15,8,72,False,9,0.00015436914271819456,True,False,0,SAVINGS,User_117
ACC000118,23765.8,0.00019954669518353928,7,1027,0,12.57,10,7,21,False,3,5.4767068137833e-05,False,False,0,CURRENT,User_118
ACC000119,33885.13,7.679683155100863e-05,4,992,0,6.56,14,5,10,False,2,5.314958073868207e-05,True,False,0,SAVINGS,User_119
ACC000120,44089.03,0.0001434825828952685,1,1054,0,10.57,47,4,20,False,5,5.3652307149498077e-05,True,False,1,BUSINESS,User_120
ACC000121,25282.16,0.0002266621352889419,8,1028,0,12.62,28,7,21,False,3,9.608338713344017e-05,False,False,0,SAVINGS,User_121
ACC000122,6513.64,0.0020006230968026744,3,990,1,100,10,4,292,True,73,3.807546815812351e-05,False,True,9,CURRENT,User_122
ACC000123,81419.26,0.0007205221941089687,9,1048,0,18.28,18,6,36,False,6,0.00020574509415886074,False,False,0,CURRENT,User_123
ACC000124,52283.25,0.00036897738704381756,5,989,0,20.73,36,11,33,False,3,0.00019070376609626964,False,False,0,BUSINESS,User_124
ACC000125,68426.76,0.0003306813625081108,7,1027,0,18.21,18,8,32,False,4,0.00017761859187679496,True,False,0,CURRENT,User_125
ACC000126,62580.97,0.0007545988596767265,4,992,0,36.74,15,10,70,False,7,0.00016397562539298554,True,False,1,BUSINESS,User_126
ACC000127,57351.75,0.0005102688997116818,0,1045,1,26.66,35,9,45,False,5,0.0001061372976168721,False,False,1,BUSINESS,User_127
ACC000128,6687.56,0.0039060981989478753,4,992,0,100,47,7,476,True,68,0.00011778619416086482,True,True,4,CURRENT,User_128
ACC000129,21078.79,0.00012879790228850646,5,989,0,5.08,29,2,8,False,4,6.267285501548834e-05,True,False,0,BUSINESS,User_129
ACC000130,38405.6,0.00027007489461288185,7,1027,0,8.19,39,6,12,False,2,0.0001636652563532709,False,False,0,CURRENT,User_130
ACC000131,73710.76,0.0020199937384670656,6,1017,0,33.89,42,12,60,False,5,0.00018976214708522982,True,False,0,SAVINGS,User_131
ACC000132,65244.35,5.561401756661927e-05,8,1028,0,6.61,50,5,10,False,2,9.993081076998011e-05,False,False,0,SAVINGS,User_132
ACC000133,58964.4,0.00013212044910583033,4,992,0,8.65,24,9,9,False,1,0.00014025567397913104,False,False,0,CURRENT,User_133
ACC000134,95062.81,8.75101815593367e-05,4,992,0,6.64,42,7,7,False,1,0.00013347471508468826,True,False,0,SAVINGS,User_134
ACC000135,4226.96,0.0003140277019661296,5,989,0,16.64,15,9,27,False,3,0.00010817575779043626,True,False,0,CURRENT,User_135
ACC000136,83499.5,0.0004994301974709496,9,1048,0,40.62,22,9,81,False,9,6.842079906386852e-05,True,False,1,SAVINGS,User_136
ACC000137,61737.4,0.00016265408890592204,6,1017,0,12.58,16,7,21,False,3,6.234430275384567e-05,True,False,1,SAVINGS,User_137
ACC000138,60250.07,0.00011045037868637738,2,1008,0,6.56,45,3,12,False,4,4.663381709546008e-05,False,False,0,CURRENT,User_138
ACC000139,38453.8,0.0004973679047407071,9,1048,0,12.75,12,5,25,False,5,0.00020329792062225875,False,False,0,CURRENT,User_139
ACC000140,63517.7,0.00015180637911025804,3,990,0,8.54,34,3,15,False,5,2.901454371271789e-05,False,False,0,BUSINESS,User_140
ACC000141,69029.77,0.0008135169736924724,8,1028,0,9.65,7,7,14,False,2,7.0671614908156e-05,False,False,1,BUSINESS,User_141
ACC000142,43068.34,0.00012436214450740811,6,1017,0,10.57,26,5,20,False,4,5.653173618696507e-05,False,False,1,BUSINESS,User_142
ACC000143,88055.03,0.00016875053844930314,9,1048,0,8.08,38,6,12,False,2,5.940997213274976e-05,False,False,0,CURRENT,User_143
ACC000144,46400.49,0.00030660142507172824,3,990,0,6.65,9,7,7,False,1,0.00011942097735697862,True,False,0,BUSINESS,User_144
ACC000145,9059.84,0.00019176475704316953,7,1027,0,8.12,32,6,12,False,2,0.00010101446654176662,True,False,0,SAVINGS,User_145
ACC000146,87090.21,0.00031583514239857344,8,1028,0,18.61,40,5,35,False,7,8.040076098993876e-05,False,False,0,CURRENT,User_146
ACC000147,24146.95,0.00035248031447016374,0,1045,0,21.61,17,7,42,False,6,7.511999328356659e-05,False,False,0,CURRENT,User_147
ACC000148,11309.56,0.00046039800867042917,9,1048,0,15.71,25,6,30,False,5,0.00016266885857370707,True,False,0,BUSINESS,User_148
ACC000149,94731.4,0.004664129400430104,5,989,1,100,4,7,518,True,74,8.221025377356529e-05,True,True,10,BUSINESS,User_149
ACC000150,24792.89,0.0006211612629710557,5,989,0,10.69,40,5,20,False,4,0.0001292820037031397,False,False,0,SAVINGS,User_150
ACC000151,43080.67,0.00025411485496339836,3,990,0,9.68,17,7,14,False,2,0.000158877247693562,True,False,0,BUSINESS,User_151
ACC000152,87349.13,0.00010298886435929971,2,1008,0,8.04,17,2,12,False,6,3.18158131080604e-05,False,False,0,BUSINESS,User_152
ACC000153,10166.07,0.0017795042036287045,8,1028,0,24.85,7,5,45,False,9,0.00016917814463764634,True,False,0,CURRENT,User_153
ACC000154,61562.82,0.00010824229678418113,8,1028,0,11.14,9,8,16,False,2,0.00012522159209217988,False,False,0,BUSINESS,User_154
ACC000155,79002.8,6.0536171450445615e-05,2,1008,0,8.62,34,9,9,False,1,0.00010905402567130066,False,False,0,CURRENT,User_155
ACC000156,46088.28,0.000522971851751539,3,990,0,21.67,8,7,42,False,6,0.00011644387176518141,False,False,0,BUSINESS,User_156
ACC000157,45350.86,0.00021823545263353265,6,1017,0,8.62,14,5,15,False,3,9.902534957551508e-05,False,False,0,SAVINGS,User_157
ACC000158,95102.77,0.00014386311436232296,1,1054,0,10.54,9,3,18,False,6,2.980450079483918e-05,False,False,0,CURRENT,User_158
ACC000159,34669.66,0.000489183663030879,6,1017,0,15.62,9,6,30,False,5,7.256981981705081e-05,True,False,0,SAVINGS,User_159
ACC000160,7311.87,0.00029764233257378257,5,989,0,8.14,18,4,16,False,4,0.0001096626010548883,False,False,0,CURRENT,User_160
ACC000161,27062.48,0.00043779567735960535,0,1045,0,23.16,8,10,40,False,4,0.00011193076079278343,True,False,1,SAVINGS,User_161
ACC000162,14862.38,7.815317484362529e-05,8,1028,0,5.07,38,4,8,False,2,6.208629526872787e-05,False,False,0,BUSINESS,User_162
ACC000163,4848.35,0.000284457223316683,4,992,0,10.68,35,6,18,False,3,0.00015030263827843407,False,False,0,CURRENT,User_163
ACC000164,67421.29,0.0003017014569553323,7,1027,0,20.65,9,9,36,False,4,0.00011969305506508084,True,False,0,CURRENT,User_164
ACC000165,64180.86,0.00017939166873178592,2,1008,0,11.13,22,8,16,False,2,0.00011586623035689646,False,False,0,BUSINESS,User_165
ACC000166,38737.95,0.0007049824814035041,0,1045,0,18.24,49,6,36,False,6,0.00017266660268509755,True,False,0,CURRENT,User_166
ACC000167,24373.09,0.0009462594197805752,9,1048,0,32.33,25,10,60,False,6,0.00023995514342876797,True,False,0,SAVINGS,User_167
ACC000168,71239.47,0.0002212244977057268,1,1054,0,10.61,50,6,18,False,3,9.007434289401767e-05,False,False,0,BUSINESS,User_168
ACC000169,86034.47,0.0008410539737026208,5,989,0,40.69,40,9,81,False,9,0.00010695462475889626,False,False,1,CURRENT,User_169
ACC000170,8687.22,0.0004587696605415317,1,1054,0,8.59,45,3,15,False,5,4.178580867986078e-05,False,False,0,BUSINESS,User_170
ACC000171,92246.64,0.00036749342067599153,8,1028,0,10.71,19,3,18,False,6,0.00017110952268112876,False,False,0,CURRENT,User_171
ACC000172,55713.84,0.0014153588044013888,0,1045,0,50.89,20,11,99,False,9,0.0002528360889298827,False,False,0,BUSINESS,User_172
ACC000173,6477.95,4.787131566617032e-05,2,1008,0,4.58,3,5,5,False,1,7.51289700096256e-05,False,False,0,SAVINGS,User_173
ACC000174,43738.35,0.00041894322870504353,3,990,0,20.63,40,9,36,False,4,8.541037235101336e-05,False,False,0,SAVINGS,User_174
ACC000175,88750.49,0.00013681668579752985,4,992,0,13.06,18,6,24,False,4,4.415606194108148e-05,True,False,0,SAVINGS,User_175
ACC000176,56389.03,0.00043281516373439965,3,990,0,24.64,43,9,45,False,5,0.00010011369519236859,True,False,0,CURRENT,User_176
ACC000177,13538.61,0.0003314429815505361,0,1045,0,10.66,4,5,20,False,4,0.00012939936506409857,False,False,0,CURRENT,User_177
ACC000178,33430.11,0.00018887119463943016,2,1008,1,10.1,36,6,12,False,2,8.584147757562678e-05,False,False,1,BUSINESS,User_178
ACC000179,20729.2,0.0010011944340119344,2,1008,0,36.83,28,10,70,False,7,0.00022835028072101538,False,False,0,SAVINGS,User_179
ACC000180,23702.65,0.00016236900331958264,8,1028,0,6.57,48,4,12,False,3,4.99174778480149e-05,True,False,0,SAVINGS,User_180
ACC000181,3806.61,0.0001485537168823087,1,1054,0,6.57,7,3,12,False,4,5.310036413037088e-05,True,False,0,CURRENT,User_181
ACC000182,7784.06,0.00013856617592126298,0,1045,0,8.55,32,5,15,False,3,3.5793373616141965e-05,False,False,0,BUSINESS,User_182
ACC000183,93079.26,0.0035198016660188767,6,1017,2,100,8,4,271,True,68,7.933400116439457e-05,False,True,3,SAVINGS,User_183
ACC000184,77562.73,0.0006702968663105549,1,1054,0,25.15,37,8,48,False,6,8.196061800281915e-05,True,False,3,SAVINGS,User_184
ACC000185,41487.94,0.00026942608412128705,4,992,0,12.6,8,7,21,False,3,7.791025675035644e-05,True,False,0,BUSINESS,User_185
ACC000186,16382.0,0.000537575046381906,1,1054,0,13.14,11,6,24,False,4,8.227022664846863e-05,True,False,1,SAVINGS,User_186
ACC000187,50844.31,0.00043595761610590436,9,1048,0,18.68,47,10,30,False,3,0.00013470005021752298,False,False,0,CURRENT,User_187
ACC000188,56044.77,0.000198301660925942,2,1008,0,8.7,28,5,15,False,3,0.00017727227136695201,False,False,0,CURRENT,User_188
ACC000189,77261.17,0.0001354169547943541,8,1028,0,9.63,32,7,14,False,2,0.00011345091334391311,False,False,1,CURRENT,User_189
ACC000190,32438.63,0.00034849641992088355,6,1017,0,12.67,12,5,25,False,5,0.00013828293713414116,True,False,0,CURRENT,User_190
ACC000191,7576.38,0.0006289473373000278,5,989,0,15.72,36,7,28,False,4,0.00015908038553591526,False,False,0,SAVINGS,User_191
ACC000192,9855.06,4.281617437212843e-06,6,1017,0,1.52,18,2,2,False,1,1.767306952223837e-05,False,False,0,SAVINGS,User_192
ACC000193,66157.87,0.00020566694365329756,8,1028,0,24.63,36,13,39,False,3,0.00010560002298082142,False,False,0,CURRENT,User_193
ACC000194,78026.76,5.198434826739103e-05,1,1054,0,3.52,29,1,4,False,4,1.8654598288208012e-05,False,False,0,CURRENT,User_194
ACC000195,1559.45,0.0004435203380788199,9,1048,0,21.64,27,7,42,False,6,9.4709407884631e-05,True,False,0,BUSINESS,User_195
ACC000196,47989.83,8.950767812818267e-05,1,1054,0,12.6,23,7,21,False,3,9.192884986262535e-05,True,False,0,SAVINGS,User_196
ACC000197,86040.87,0.00017179350962884927,4,992,0,8.58,27,3,15,False,5,6.276881707727752e-05,False,False,0,BUSINESS,User_197
ACC000198,10972.66,0.00027309414149286325,1,1054,0,27.62,20,10,50,False,5,9.458334872221385e-05,True,False,1,BUSINESS,User_198
ACC000199,91716.72,0.00025361229252847335,0,1045,0,9.65,33,7,14,False,2,0.00012114263685464258,False,False,0,SAVINGS,User_199
ACC000200,27377.72,8.940500390542435e-05,7,1027,0,6.53,49,2,10,False,5,2.5680614999513133e-05,True,False,0,SAVINGS,User_200
ACC000201,84091.81,0.0006392826454342075,3,990,0,18.7,39,5,35,False,7,0.0001331087966197913,True,False,0,BUSINESS,User_201
