accountNumber,balance,betweenness,communityId,communitySize,cycleCount,fraudScore,freq,inDegree,intermediateAccount,is_suspicious,outDegree,pagerank,regularIntervalTransaction,suspicious,triangleCount,type,user,fraud_score
ACC000022,83043.08,0.0001276086451376,9,1048,0,10.61,22,6,18,False,3,9.930454902259752e-05,True,False,0,SAVINGS,User_22,0.05983577966253469
ACC000023,86243.2,0.0001465642421196,4,992,0,6.55,28,3,12,False,4,3.519396647441861e-05,True,False,0,CURRENT,User_23,0.05518227068771073
ACC000024,53743.0,0.0001902854283581,4,992,0,6.59,21,4,12,False,3,7.481091644619046e-05,True,False,0,SAVINGS,User_24,0.01980069404577946
ACC000025,83867.39,4.090521504524423e-05,0,1045,0,2.03,35,2,4,False,2,2.9857832348280613e-05,True,False,0,BUSINESS,User_25,0.15830886615172343
ACC000026,43687.2,0.0003845717165916,1,1054,0,20.66,23,9,36,False,4,0.0001236405405796,True,False,0,BUSINESS,User_26,0.08039397562886438
ACC000027,55140.34,0.0026243907561699,0,1045,0,100.0,46,4,284,True,71,5.640722283265203e-05,False,True,5,BUSINESS,User_27,0.8745100697630728
ACC000028,67167.8,0.0001338805076154,5,989,0,6.6,33,4,12,False,3,8.859204689919131e-05,False,False,0,SAVINGS,User_28,0.024835041112959047
ACC000029,91514.4,5.227764360478307e-05,7,1027,0,4.54,29,1,5,False,5,3.191662723783276e-05,False,False,0,SAVINGS,User_29,0.10440822625684468
ACC000030,19971.08,0.0001286176352883,5,989,0,12.54,35,3,21,False,7,3.0831814578436506e-05,False,False,0,BUSINESS,User_30,0.09446438397068858
ACC000031,53573.61,0.0003973482859507,6,1017,0,18.61,34,3,30,False,10,6.84271237783259e-05,True,False,0,CURRENT,User_31,0.06929182683207596
ACC000032,13500.68,0.0004855052457355,9,1048,0,21.66,2,6,42,False,7,0.0001135046474021,False,False,0,CURRENT,User_32,0.1482168393210505
ACC000033,90419.96,5.019255809964834e-05,2,1008,0,10.65,7,11,11,False,1,0.0001499167634037,False,False,0,BUSINESS,User_33,0.1878910089568334
ACC000034,32217.25,0.0004894647721581,3,990,0,2.63,15,3,3,False,1,7.648821658781004e-05,False,False,0,BUSINESS,User_34,0.08799793900023113
ACC000035,25725.55,9.16724560728125e-05,3,990,0,6.55,45,5,10,False,2,4.434914062804467e-05,False,False,0,SAVINGS,User_35,0.07653590109063495
ACC000036,18731.44,0.0002997360900136,1,1054,0,20.66,38,11,33,False,3,0.0001300350869536,True,False,0,CURRENT,User_36,0.13727977085738508
ACC000037,31874.39,0.0002951611457123,8,1028,0,12.62,35,9,18,False,2,9.24533616711261e-05,True,False,0,CURRENT,User_37,0.047951278165016986
ACC000038,96174.47,0.0002268619256323,9,1048,0,8.06,41,4,16,False,4,3.976486806223136e-05,False,False,0,CURRENT,User_38,0.10378435348106378
ACC000039,52498.31,0.0002457828455783,4,992,0,12.66,21,7,21,False,3,0.0001340497890471,False,False,0,SAVINGS,User_39,0.02634556662179434
ACC000040,18124.16,0.0045628993116361,1,1054,0,100.0,35,6,396,True,66,0.0001446203988431,False,True,3,SAVINGS,User_40,0.8742975883110711
ACC000041,55555.93,0.0001082348701822,5,989,0,5.09,50,2,8,False,4,7.62973534712604e-05,False,False,0,BUSINESS,User_41,0.1146460345464471
ACC000042,53694.98,0.0004810544501575,4,992,0,18.7,18,10,30,False,3,0.000156610358343,False,False,0,SAVINGS,User_42,0.07231029649289253
ACC000043,49425.74,0.0004350174556351,3,990,0,25.59,14,4,44,False,11,4.839396327133663e-05,False,False,0,SAVINGS,User_43,0.09161729204955527
ACC000044,90447.2,0.0008686790520874,1,1054,1,38.68,35,8,72,False,9,9.445076286106974e-05,True,False,1,BUSINESS,User_44,0.37701387670617514
ACC000045,27417.91,0.0001561033329104,1,1054,0,8.1,38,6,12,False,2,8.781882208272075e-05,True,False,0,SAVINGS,User_45,0.06519474520349483
ACC000046,5686.12,0.0017044208660542,6,1017,0,32.3,49,10,60,False,6,0.0001296703527438,True,False,0,SAVINGS,User_46,0.260573232142341
ACC000047,83036.59,0.0,0,1045,0,0.11,17,5,0,False,0,0.0001056473037162,True,False,0,BUSINESS,User_47,0.1379758365505768
ACC000048,4093.51,0.0002757130226227,5,989,0,6.6,48,3,12,False,4,7.478696972789295e-05,False,False,0,BUSINESS,User_48,0.12304244161038679
ACC000049,92731.4,0.0002692191482589,7,1027,0,11.16,48,8,16,False,2,0.000128251886412,False,False,0,SAVINGS,User_49,0.08877219502324595
ACC000050,94057.99,0.0003902878066121,0,1045,0,12.81,38,7,21,False,3,0.0002702812926576,True,False,0,BUSINESS,User_50,0.20155694531758508
ACC000051,49679.75,0.0002551199696225,6,1017,0,8.61,46,3,15,False,5,8.577672853229879e-05,False,False,0,CURRENT,User_51,0.046705295912740766
ACC000052,83894.99,0.0,0,1045,0,0.11,1,6,0,False,0,0.0001101279336732,True,False,0,BUSINESS,User_52,0.1909417863730277
ACC000053,21708.91,0.0002458429024302,9,1048,0,8.17,43,6,12,False,2,0.0001429592747149,True,False,0,CURRENT,User_53,0.08780195439988435
ACC000054,75118.88,0.0001604995729941,6,1017,0,13.06,18,6,24,False,4,4.2843093271224135e-05,False,False,0,SAVINGS,User_54,0.015196982084481378
ACC000055,59410.33,4.537097631575641e-05,4,992,0,2.55,44,3,3,False,1,4.787209100451992e-05,False,False,0,SAVINGS,User_55,0.1011310711594088
ACC000056,56372.39,0.0009343478806606,4,992,0,13.18,16,4,24,False,6,8.695819059317527e-05,False,False,0,CURRENT,User_56,0.06469687802998128
ACC000057,75315.9,0.0,5,989,0,0.13,27,8,0,False,0,0.0001274828284377,False,False,0,CURRENT,User_57,0.10022136277353011
ACC000058,64206.7,0.0002804047022875,6,1017,0,6.6,2,4,12,False,3,7.009500908064479e-05,False,False,0,BUSINESS,User_58,0.044108558233461194
ACC000059,29780.21,0.002088845218626,5,989,0,32.37,17,6,60,False,10,0.000160078860653,True,False,0,CURRENT,User_59,0.21952162266365263
ACC000060,44560.16,0.0006969450173584,7,1027,0,41.18,29,10,80,False,8,0.000112774735005,True,False,0,BUSINESS,User_60,0.13593352235074777
ACC000061,91373.51,0.0005072806896841,5,989,0,15.66,31,6,30,False,5,0.0001082444257692,False,False,1,SAVINGS,User_61,0.08057446068158167
ACC000062,88391.14,0.0001891051416181,8,1028,0,10.57,4,5,20,False,4,5.582533082704606e-05,False,False,0,SAVINGS,User_62,0.05719838794959746
ACC000063,38540.65,0.0001574365110429,6,1017,0,18.08,9,8,32,False,4,6.517729948540086e-05,False,False,3,SAVINGS,User_63,0.21328051940580592
ACC000064,98362.54,0.0004215094923168,5,989,0,25.1,2,8,48,False,6,5.3253610374752016e-05,True,False,0,SAVINGS,User_64,0.1447495144469487
ACC000065,90238.77,8.329160440232495e-05,5,989,0,6.53,50,1,7,False,7,1.841643298295968e-05,False,False,0,SAVINGS,User_65,0.22364248126690942
ACC000066,99287.78,0.000573532610017,8,1028,0,27.76,10,10,50,False,5,0.0002016393029189,True,False,0,BUSINESS,User_66,0.175166998514609
ACC000067,25654.65,0.0005094886372734,3,990,0,25.84,18,11,44,False,4,0.0002886255743842,True,False,0,CURRENT,User_67,0.2054995401443948
ACC000068,23304.36,6.147275690514637e-05,3,990,0,3.58,31,3,6,False,2,7.256163129622862e-05,True,False,0,CURRENT,User_68,0.06413428483484021
ACC000069,4805.71,0.004569051761706,2,1008,0,100.0,7,6,354,True,59,0.0001284291801389,False,True,5,CURRENT,User_69,0.9283880292754798
ACC000070,99363.63,0.000101249562722,1,1054,0,5.06,22,4,8,False,2,4.534887726930203e-05,True,False,0,SAVINGS,User_70,0.12178899587604411
ACC000071,15960.19,0.0003494148427095,6,1017,0,18.14,8,6,36,False,6,0.0001014599122586,True,False,0,BUSINESS,User_71,0.05100442096053142
ACC000072,6415.88,0.0004390848418451,9,1048,0,21.65,4,8,40,False,5,0.0001034388698464,True,False,1,CURRENT,User_72,0.18057367166433652
ACC000073,5024.96,0.0001428800445117,8,1028,0,13.06,42,4,24,False,6,4.347475066175309e-05,True,False,0,SAVINGS,User_73,0.08616545766799534
ACC000074,10800.59,0.0002528823900923,2,1008,0,12.76,50,9,18,False,2,0.0002366457599899,True,False,0,BUSINESS,User_74,0.19786043226706462
ACC000075,66949.24,8.803416535684038e-05,3,990,0,6.58,10,5,10,False,2,7.342874446130277e-05,True,False,0,CURRENT,User_75,0.046694602926811914
ACC000076,43194.9,0.0005569767682493,0,1045,0,21.68,21,6,42,False,7,0.0001210309241724,False,False,0,SAVINGS,User_76,0.09198770551400705
ACC000077,99226.17,0.0011546750598112,7,1027,0,32.41,10,10,60,False,6,0.0002938914121199,True,False,0,BUSINESS,User_77,0.3004060152971586
ACC000078,16484.82,0.0006504102755442,6,1017,0,28.69,2,8,56,False,7,0.0001284534831587,True,False,1,CURRENT,User_78,0.15651024764084798
ACC000079,3708.99,0.0006826070945522,4,992,0,28.81,20,9,54,False,6,0.0002427345008879,False,False,0,SAVINGS,User_79,0.1858567225915596
ACC000080,53804.52,0.0021440434060822,4,992,0,28.91,50,8,56,False,7,0.0001954151268958,True,False,0,BUSINESS,User_80,0.2949449131754544
ACC000081,79759.15,0.000649540035332,6,1017,0,36.66,15,8,72,False,9,9.553405095699368e-05,True,False,0,CURRENT,User_81,0.11369762096693005
ACC000082,33641.37,0.0017929222880362,5,989,0,55.84,11,11,110,False,10,0.0001562303353222,True,False,0,SAVINGS,User_82,0.3059586756023444
ACC000083,93350.15,0.0001997501419518,7,1027,0,8.6,46,3,15,False,5,8.446007580813496e-05,True,False,0,BUSINESS,User_83,0.07294159312045005
ACC000084,79940.4,6.76862371712109e-05,7,1027,0,7.57,41,8,8,False,1,5.982247507585073e-05,True,False,0,SAVINGS,User_84,0.08341654085758604
ACC000085,23859.53,0.0004770286866979,3,990,0,20.71,27,9,36,False,4,0.0001603021169949,False,False,0,SAVINGS,User_85,0.07188938144098712
ACC000086,74555.32,0.0005416568516593,7,1027,0,15.7,46,6,30,False,5,0.000150618944386,True,False,1,SAVINGS,User_86,0.09870095981870754
ACC000087,38823.31,7.606861788464649e-05,0,1045,0,5.05,47,2,8,False,4,4.194490576106743e-05,False,False,0,SAVINGS,User_87,0.14286051128207986
ACC000088,11394.13,0.0004329982826419,7,1027,0,15.69,37,7,28,False,4,0.0001501785440172,False,False,1,CURRENT,User_88,0.08972825319442089
ACC000089,41238.68,0.0001309894287971,1,1054,0,5.09,11,2,8,False,4,7.841871449232654e-05,False,False,0,CURRENT,User_89,0.09461535154189718
ACC000090,43557.15,0.000311779931206,4,992,0,10.63,34,4,20,False,5,0.0001004688084767,False,False,0,SAVINGS,User_90,0.019648831182570742
ACC000091,80080.34,0.0004625989361729,1,1054,0,18.66,34,7,35,False,5,0.0001137857263768,False,False,0,BUSINESS,User_91,0.07918878628497537
ACC000092,71667.81,0.000510561290268,5,989,0,15.68,29,7,28,False,4,0.0001285153049153,True,False,0,SAVINGS,User_92,0.03240557725701037
ACC000093,2315.04,0.0003212997569764,1,1054,0,3.58,44,3,6,False,2,5.0534455222676626e-05,True,False,0,CURRENT,User_93,0.14983922228719018
ACC000094,43225.43,8.791045914837242e-05,4,992,0,6.59,40,5,10,False,2,8.001431367237438e-05,False,False,0,CURRENT,User_94,0.03691277084544569
ACC000095,75979.84,0.0010753836363824,3,990,0,13.21,4,6,24,False,4,9.879057813262431e-05,True,False,0,BUSINESS,User_95,0.10193029529424888
ACC000096,75215.13,0.0,3,990,0,0.23,21,8,0,False,0,0.0002251446601318,False,False,0,CURRENT,User_96,0.1597403966293688
ACC000097,44969.27,0.0001406570546883,1,1054,0,8.06,32,4,16,False,4,4.146183405594508e-05,False,False,1,CURRENT,User_97,0.10706651990242115
ACC000098,69051.77,0.0005261000566526,7,1027,0,11.18,34,8,16,False,2,0.0001256938166263,True,False,0,CURRENT,User_98,0.03949320185915701
ACC000099,3855.67,0.0014068608348974,6,1017,0,20.77,47,11,33,False,3,0.0001324959122717,False,False,2,CURRENT,User_99,0.30822905486927926
ACC000100,24271.88,0.0017003566337192,9,1048,0,24.87,30,9,45,False,5,0.0001954459843488,True,False,1,CURRENT,User_100,0.27604254718612836
ACC000101,43189.59,0.0004302436159608,2,1008,0,11.89,26,12,12,False,1,0.0003430080458853,True,False,1,SAVINGS,User_101,0.27828076784860223
ACC000102,42537.52,0.000295972826982,1,1054,0,14.2,12,10,20,False,2,0.0001661065328179,True,False,0,BUSINESS,User_102,0.13603787798798858
ACC000103,55172.61,0.0001966228489978,8,1028,0,6.63,31,3,12,False,4,0.0001133274334402,True,False,0,BUSINESS,User_103,0.032155253632203534
ACC000104,23647.31,0.0002465850247681,0,1045,0,18.59,14,5,35,False,7,6.81668939607158e-05,False,False,1,SAVINGS,User_104,0.1556947028214116
ACC000105,72371.1,0.0005016807858669,5,989,0,10.6,3,3,18,False,6,5.143242584755175e-05,True,False,0,SAVINGS,User_105,0.08871883043389064
ACC000106,98357.52,0.0006116559767188,7,1027,0,25.18,47,8,48,False,6,0.0001175849301821,True,False,0,SAVINGS,User_106,0.1292063038992708
ACC000107,10916.57,0.0016266585472064,9,1048,1,26.89,34,9,45,False,5,0.0002238448695619,True,False,2,SAVINGS,User_107,0.4798384012977915
ACC000108,93131.52,0.0002445623042134,7,1027,0,20.64,27,9,36,False,4,0.0001106955986897,False,False,1,SAVINGS,User_108,0.08965328994345192
ACC000109,41696.64,7.71531988962794e-05,0,1045,0,8.08,2,6,12,False,2,7.392263774397398e-05,False,False,0,SAVINGS,User_109,0.11549491026837513
ACC000110,78531.09,0.0002876476695191,5,989,0,12.57,46,5,25,False,5,3.884668138476656e-05,True,False,0,SAVINGS,User_110,0.06653065735742388
ACC000111,81747.41,0.0002541115740291,7,1027,0,10.59,47,5,20,False,4,6.369749063300933e-05,False,False,0,BUSINESS,User_111,0.041133692720867254
ACC000112,8308.52,0.0005565780177532,2,1008,0,8.62,14,5,15,False,3,6.43338409318772e-05,False,False,0,CURRENT,User_112,0.06975386178259613
ACC000113,42738.5,0.0010127003164996,2,1008,0,13.24,28,6,24,False,4,0.0001415934275809,False,False,0,SAVINGS,User_113,0.06304557541403832
ACC000114,21425.43,0.000395336891142,9,1048,0,6.73,28,4,12,False,3,0.0001874423615941,True,False,0,CURRENT,User_114,0.10638225440583966
ACC000115,77714.23,0.0002129494996604,7,1027,0,6.63,2,7,7,False,1,0.000112648351068,True,False,0,BUSINESS,User_115,0.09063396207798544
ACC000116,77444.57,8.396133958061006e-05,8,1028,0,3.6,7,4,4,False,1,9.351441484644012e-05,True,False,0,SAVINGS,User_116,0.08242069248359907
ACC000117,81454.91,0.0010046008861013,8,1028,0,36.75,15,8,72,False,9,0.0001543691427181,True,False,0,SAVINGS,User_117,0.17423633435350144
ACC000118,23765.8,0.0001995466951835,7,1027,0,12.57,10,7,21,False,3,5.4767068137833e-05,False,False,0,CURRENT,User_118,0.03759814636840636
ACC000119,33885.13,7.679683155100863e-05,4,992,0,6.56,14,5,10,False,2,5.314958073868207e-05,True,False,0,SAVINGS,User_119,0.048086588184953406
ACC000120,44089.03,0.0001434825828952,1,1054,0,10.57,47,4,20,False,5,5.365230714949808e-05,True,False,1,BUSINESS,User_120,0.14592103922265254
ACC000121,25282.16,0.0002266621352889,8,1028,0,12.62,28,7,21,False,3,9.608338713344015e-05,False,False,0,SAVINGS,User_121,0.01689140495023322
ACC000122,6513.64,0.0020006230968026,3,990,1,100.0,10,4,292,True,73,3.807546815812351e-05,False,True,9,CURRENT,User_122,1.0
ACC000123,81419.26,0.0007205221941089,9,1048,0,18.28,18,6,36,False,6,0.0002057450941588,False,False,0,CURRENT,User_123,0.13676257089388127
ACC000124,52283.25,0.0003689773870438,5,989,0,20.73,36,11,33,False,3,0.0001907037660962,False,False,0,BUSINESS,User_124,0.10682378074339448
ACC000125,68426.76,0.0003306813625081,7,1027,0,18.21,18,8,32,False,4,0.0001776185918767,True,False,0,CURRENT,User_125,0.04645570340483568
ACC000126,62580.97,0.0007545988596767,4,992,0,36.74,15,10,70,False,7,0.0001639756253929,True,False,1,BUSINESS,User_126,0.19521099768600836
ACC000127,57351.75,0.0005102688997116,0,1045,1,26.66,35,9,45,False,5,0.0001061372976168,False,False,1,BUSINESS,User_127,0.2759628818440366
ACC000128,6687.56,0.0039060981989478,4,992,0,100.0,47,7,476,True,68,0.0001177861941608,True,True,4,CURRENT,User_128,0.9174170858042863
ACC000129,21078.79,0.0001287979022885,5,989,0,5.08,29,2,8,False,4,6.267285501548834e-05,True,False,0,BUSINESS,User_129,0.06387345261601436
ACC000130,38405.6,0.0002700748946128,7,1027,0,8.19,39,6,12,False,2,0.0001636652563532,False,False,0,CURRENT,User_130,0.04646611376305102
ACC000131,73710.76,0.002019993738467,6,1017,0,33.89,42,12,60,False,5,0.0001897621470852,True,False,0,SAVINGS,User_131,0.28206397808679273
ACC000132,65244.35,5.561401756661927e-05,8,1028,0,6.61,50,5,10,False,2,9.993081076998012e-05,False,False,0,SAVINGS,User_132,0.07413029806411116
ACC000133,58964.4,0.0001321204491058,4,992,0,8.65,24,9,9,False,1,0.0001402556739791,False,False,0,CURRENT,User_133,0.07077854572880403
ACC000134,95062.81,8.75101815593367e-05,4,992,0,6.64,42,7,7,False,1,0.0001334747150846,True,False,0,SAVINGS,User_134,0.11405010553672636
ACC000135,4226.96,0.0003140277019661,5,989,0,16.64,15,9,27,False,3,0.0001081757577904,True,False,0,CURRENT,User_135,0.07926818621341447
ACC000136,83499.5,0.0004994301974709,9,1048,0,40.62,22,9,81,False,9,6.842079906386852e-05,True,False,1,SAVINGS,User_136,0.22432400895527987
ACC000137,61737.4,0.0001626540889059,6,1017,0,12.58,16,7,21,False,3,6.234430275384567e-05,True,False,1,SAVINGS,User_137,0.0694873609277523
ACC000138,60250.07,0.0001104503786863,2,1008,0,6.56,45,3,12,False,4,4.663381709546008e-05,False,False,0,CURRENT,User_138,0.07221583862580296
ACC000139,38453.8,0.0004973679047407,9,1048,0,12.75,12,5,25,False,5,0.0002032979206222,False,False,0,CURRENT,User_139,0.12603741415650502
ACC000140,63517.7,0.0001518063791102,3,990,0,8.54,34,3,15,False,5,2.901454371271789e-05,False,False,0,BUSINESS,User_140,0.0550805325778281
ACC000141,69029.77,0.0008135169736924,8,1028,0,9.65,7,7,14,False,2,7.0671614908156e-05,False,False,1,BUSINESS,User_141,0.14031641992303975
ACC000142,43068.34,0.0001243621445074,6,1017,0,10.57,26,5,20,False,4,5.653173618696507e-05,False,False,1,BUSINESS,User_142,0.0504699551440252
ACC000143,88055.03,0.0001687505384493,9,1048,0,8.08,38,6,12,False,2,5.940997213274976e-05,False,False,0,CURRENT,User_143,0.0790546530374546
ACC000144,46400.49,0.0003066014250717,3,990,0,6.65,9,7,7,False,1,0.0001194209773569,True,False,0,BUSINESS,User_144,0.07831233759652813
ACC000145,9059.84,0.0001917647570431,7,1027,0,8.12,32,6,12,False,2,0.0001010144665417,True,False,0,SAVINGS,User_145,0.045878570741830715
ACC000146,87090.21,0.0003158351423985,8,1028,0,18.61,40,5,35,False,7,8.040076098993876e-05,False,False,0,CURRENT,User_146,0.05712739601530271
ACC000147,24146.95,0.0003524803144701,0,1045,0,21.61,17,7,42,False,6,7.511999328356659e-05,False,False,0,CURRENT,User_147,0.09474336028920774
ACC000148,11309.56,0.0004603980086704,9,1048,0,15.71,25,6,30,False,5,0.0001626688585737,True,False,0,BUSINESS,User_148,0.0971010999028114
ACC000149,94731.4,0.0046641294004301,5,989,1,100.0,4,7,518,True,74,8.221025377356529e-05,True,True,10,BUSINESS,User_149,1.0
ACC000150,24792.89,0.000621161262971,5,989,0,10.69,40,5,20,False,4,0.0001292820037031,False,False,0,SAVINGS,User_150,0.05512482301151519
ACC000151,43080.67,0.0002541148549633,3,990,0,9.68,17,7,14,False,2,0.0001588772476935,True,False,0,BUSINESS,User_151,0.04808033459205834
ACC000152,87349.13,0.0001029888643592,2,1008,0,8.04,17,2,12,False,6,3.18158131080604e-05,False,False,0,BUSINESS,User_152,0.09667164901996791
ACC000153,10166.07,0.0017795042036287,8,1028,0,24.85,7,5,45,False,9,0.0001691781446376,True,False,0,CURRENT,User_153,0.23783494170703146
ACC000154,61562.82,0.0001082422967841,8,1028,0,11.14,9,8,16,False,2,0.0001252215920921,False,False,0,BUSINESS,User_154,0.049993652756938525
ACC000155,79002.8,6.0536171450445615e-05,2,1008,0,8.62,34,9,9,False,1,0.0001090540256713,False,False,0,CURRENT,User_155,0.0956284736059127
ACC000156,46088.28,0.0005229718517515,3,990,0,21.67,8,7,42,False,6,0.0001164438717651,False,False,0,BUSINESS,User_156,0.06269815428653278
ACC000157,45350.86,0.0002182354526335,6,1017,0,8.62,14,5,15,False,3,9.902534957551508e-05,False,False,0,SAVINGS,User_157,0.005991891167207339
ACC000158,95102.77,0.0001438631143623,1,1054,0,10.54,9,3,18,False,6,2.980450079483918e-05,False,False,0,CURRENT,User_158,0.13724263920860955
ACC000159,34669.66,0.0004891836630308,6,1017,0,15.62,9,6,30,False,5,7.256981981705081e-05,True,False,0,SAVINGS,User_159,0.038076087456514966
ACC000160,7311.87,0.0002976423325737,5,989,0,8.14,18,4,16,False,4,0.0001096626010548,False,False,0,CURRENT,User_160,0.052769168908545924
ACC000161,27062.48,0.0004377956773596,0,1045,0,23.16,8,10,40,False,4,0.0001119307607927,True,False,1,SAVINGS,User_161,0.19869950327577007
ACC000162,14862.38,7.815317484362529e-05,8,1028,0,5.07,38,4,8,False,2,6.208629526872787e-05,False,False,0,BUSINESS,User_162,0.060265118359919
ACC000163,4848.35,0.0002844572233166,4,992,0,10.68,35,6,18,False,3,0.0001503026382784,False,False,0,CURRENT,User_163,0.06849558312160176
ACC000164,67421.29,0.0003017014569553,7,1027,0,20.65,9,9,36,False,4,0.000119693055065,True,False,0,CURRENT,User_164,0.05523252437836332
ACC000165,64180.86,0.0001793916687317,2,1008,0,11.13,22,8,16,False,2,0.0001158662303568,False,False,0,BUSINESS,User_165,0.043422312858983854
ACC000166,38737.95,0.0007049824814035,0,1045,0,18.24,49,6,36,False,6,0.000172666602685,True,False,0,CURRENT,User_166,0.15185938576088456
ACC000167,24373.09,0.0009462594197805,9,1048,0,32.33,25,10,60,False,6,0.0002399551434287,True,False,0,SAVINGS,User_167,0.2450010779038615
ACC000168,71239.47,0.0002212244977057,1,1054,0,10.61,50,6,18,False,3,9.007434289401768e-05,False,False,0,BUSINESS,User_168,0.10155103185336817
ACC000169,86034.47,0.0008410539737026,5,989,0,40.69,40,9,81,False,9,0.0001069546247588,False,False,1,CURRENT,User_169,0.220881901790501
ACC000170,8687.22,0.0004587696605415,1,1054,0,8.59,45,3,15,False,5,4.178580867986078e-05,False,False,0,BUSINESS,User_170,0.14221084690624314
ACC000171,92246.64,0.0003674934206759,8,1028,0,10.71,19,3,18,False,6,0.0001711095226811,False,False,0,CURRENT,User_171,0.09480129722509552
ACC000172,55713.84,0.0014153588044013,0,1045,0,50.89,20,11,99,False,9,0.0002528360889298,False,False,0,BUSINESS,User_172,0.3517323853587895
ACC000173,6477.95,4.787131566617032e-05,2,1008,0,4.58,3,5,5,False,1,7.51289700096256e-05,False,False,0,SAVINGS,User_173,0.12693167708435418
ACC000174,43738.35,0.000418943228705,3,990,0,20.63,40,9,36,False,4,8.541037235101336e-05,False,False,0,SAVINGS,User_174,0.05869452441905903
ACC000175,88750.49,0.0001368166857975,4,992,0,13.06,18,6,24,False,4,4.415606194108148e-05,True,False,0,SAVINGS,User_175,0.045974881388209564
ACC000176,56389.03,0.0004328151637343,3,990,0,24.64,43,9,45,False,5,0.0001001136951923,True,False,0,CURRENT,User_176,0.07396570113880241
ACC000177,13538.61,0.0003314429815505,0,1045,0,10.66,4,5,20,False,4,0.000129399365064,False,False,0,CURRENT,User_177,0.11766833862024882
ACC000178,33430.11,0.0001888711946394,2,1008,1,10.1,36,6,12,False,2,8.584147757562678e-05,False,False,1,BUSINESS,User_178,0.23201936107402185
ACC000179,20729.2,0.0010011944340119,2,1008,0,36.83,28,10,70,False,7,0.000228350280721,False,False,0,SAVINGS,User_179,0.21661802125277124
ACC000180,23702.65,0.0001623690033195,8,1028,0,6.57,48,4,12,False,3,4.99174778480149e-05,True,False,0,SAVINGS,User_180,0.07590383255038324
ACC000181,3806.61,0.0001485537168823,1,1054,0,6.57,7,3,12,False,4,5.310036413037088e-05,True,False,0,CURRENT,User_181,0.12491062173327337
